Designator,Mid X,Mid Y,Rotation,Layer
C1,145.923,-85.725,90.0,top
C3,164.719,-88.138,90.0,top
C4,176.911,-88.519,270.0,top
C5,176.911,-83.439,270.0,top
D1,149.987,-85.471,90.0,top
D2,174.371,-88.519,270.0,top
J1,190.46,-84.201,270.0,top
J2,195.961,-96.555883,90.0,top
J3,135.157,-91.715,0.0,top
J4,184.658,-80.264,0.0,top
J5,132.969,-99.055,0.0,top
R1,140.335,-97.409,180.0,top
R2,152.527,-85.217,90.0,top
R3,190.627,-100.829883,270.0,top
R4,190.627,-97.273883,270.0,top
R5,172.212,-87.63,90.0,top
U1,180.721,-94.107,270.0,top
U3,171.9635,-83.378,180.0,top
Y1,159.061,-89.027,180.0,top
